instance,target_reached,num_crash,avg_computing_time
4,0,217,0.005475515499711037
5,4,451,0.005982978269457817
6,5,471,0.006802670657634735
4,2,295,0.005633378401398659
9,7,562,0.008379390463232994
14,21,789,0.011978043243288994
19,13,798,0.015679465606808662
24,38,973,0.019369324669241905
29,47,796,0.022883106023073196
34,50,1191,0.026894064620137215
39,60,957,0.02986893430352211
44,57,1498,0.0330542866140604
49,66,1479,0.03600423410534859
54,66,1635,0.040571367368102074
59,70,1815,0.044446760788559914
64,77,1832,0.04715452343225479
69,71,2291,0.050654591992497444
